"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","47p","","","","Wampler:CAP_MLCC_47PF","~"
"C2,C3,C4,C6,C7","5","10n","","","","Wampler:CAP_FILM_10NF","~"
"C5,C8","2","100n","","","","Wampler:CAP_FILM_100NF","~"
"C10,C11","2","100u 35V","","","","Wampler:CAP_ELEC_100UF","~"
"D1,D2,D5,D6","4","1N4148","","","","Wampler:DIODE_1N4148","~"
"D3","1","LED","","","","Wampler:LED_5MM","~"
"D4","1","1N4001","","","","Wampler:DIODE_1N4001","http://www.vishay.com/docs/88503/1n4001.pdf"
"J1,J2","2","~","","","","Wampler:CONNECTOR_4",""
"J3,J4,J5","3","~","","","","Wampler:CONNECTOR_2",""
"R1","1","4.7k","","","","Wampler:RESISTOR_1/4W","~"
"R2","1","3.3k","","","","Wampler:RESISTOR_1/4W","~"
"R3","1","10k","","","","Wampler:RESISTOR_1/4W","~"
"R4","1","220k","","","","Wampler:RESISTOR_1/4W","~"
"R5,R7","2","6.8k","","","","Wampler:RESISTOR_1/4W","~"
"R6,R19","2","1k","","","","Wampler:RESISTOR_1/4W","~"
"R8","1","2.2M","","","","Wampler:RESISTOR_1/4W","~"
"R9,R12","2","1M","","","","Wampler:RESISTOR_1/4W","~"
"R17","1","10R","","","","Wampler:RESISTOR_1/4W","~"
"R18,R20","2","47k","","","","Wampler:RESISTOR_1/4W","~"
"RV1","1","100KB","","","","Wampler:POT_16MM_RA","~"
"RV2","1","25KB","","","","Wampler:POT_16MM_RA","~"
"RV3","1","100KA","","","","Wampler:POT_16MM_RA","~"
"U1","1","TL072","","","","Wampler:OP_AMP",""
