"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","47n","","","","Wampler:CAP_FILM_47NF","~"
"C2,C8","2","220n 35V","","","","Wampler:CAP_TANT_220NF","~"
"C3","1","51p","","","","Wampler:CAP_MLCC_51PF","~"
"C4","1","22n","","","","Wampler:CAP_FILM_22NF","~"
"C5,C6","2","1u","","","","Wampler:CAP_FILM_1UF","~"
"C7","1","100n","","","","Wampler:CAP_FILM_100NF","~"
"C9","1","10u 35V","","","","Wampler:CAP_ELEC_10UF","~"
"C10,C11","2","100u 35V","","","","Wampler:CAP_ELEC_100UF","~"
"D1,D2","2","1N4148","","","","Wampler:DIODE_1N4148","~"
"D3","1","LED","","","","Wampler:LED_5MM","~"
"D4","1","1N4001","","","","Wampler:DIODE_1N4001","http://www.vishay.com/docs/88503/1n4001.pdf"
"J1,J2","2","~","","","","Wampler:CONNECTOR_4",""
"J3,J4,J5","3","~","","","","Wampler:CONNECTOR_2",""
"Q1,Q2","2","2N5089","","","","Wampler:BJT_2N5089","~"
"R1","1","51k","","","","Wampler:RESISTOR_1/4W","~"
"R2","1","4.7k","","","","Wampler:RESISTOR_1/4W","~"
"R3","1","220R","","","","Wampler:RESISTOR_1/4W","~"
"R4,R5,R6,R7,R19","5","1k","","","","Wampler:RESISTOR_1/4W","~"
"R8","1","1M","","","","Wampler:RESISTOR_1/4W","~"
"R9,R13","2","510k","","","","Wampler:RESISTOR_1/4W","~"
"R10,R11,R12,R15,R16,R18,R20","7","10k","","","","Wampler:RESISTOR_1/4W","~"
"R14","1","100R","","","","Wampler:RESISTOR_1/4W","~"
"R17","1","10R","","","","Wampler:RESISTOR_1/4W","~"
"RV1","1","500KA","","","","Wampler:POT_16MM_RA","~"
"RV2","1","20KB","","","","Wampler:POT_16MM_RA","~"
"RV3","1","100KA","","","","Wampler:POT_16MM_RA","~"
"U1","1","RC4558","","","","Wampler:OP_AMP",""
